,SBS1,SBS2,SBS5,SBS7a,SBS7b,SBS7c,SBS7d,SBS13,SBS17a,SBS17b,SBS38,SBS40
Skin-Melanoma::S.63,0.0,3408.0,0.0,67537.0,0.0,10299.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.64,0.0,0.0,0.0,80798.0,50205.0,18500.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.65,629.0,5637.0,0.0,41551.0,10200.0,4621.0,1944.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.66,1636.0,8398.0,0.0,67191.0,21807.0,10025.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.67,876.0,146.0,1390.0,0.0,0.0,0.0,1846.0,544.0,0.0,0.0,0.0,2366.0
Skin-Melanoma::S.68,322.0,0.0,6856.0,0.0,13545.0,780.0,0.0,236.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.69,0.0,5220.0,0.0,58872.0,0.0,2941.0,3484.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.70,0.0,0.0,1330.0,12909.0,4965.0,350.0,4487.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.71,0.0,0.0,0.0,9598.0,3348.0,1846.0,8421.0,514.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.72,440.0,0.0,0.0,17941.0,35609.0,3184.0,8995.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.73,0.0,0.0,0.0,5677.0,435.0,2507.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.74,736.0,0.0,0.0,38408.0,15747.0,1117.0,4741.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.75,0.0,0.0,6356.0,0.0,19622.0,0.0,1366.0,0.0,0.0,0.0,662.0,0.0
Skin-Melanoma::S.76,935.0,17590.0,8379.0,47576.0,29917.0,7763.0,2290.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.77,0.0,0.0,0.0,98411.0,21720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.78,1375.0,2156.0,0.0,59712.0,35612.0,5072.0,5241.0,0.0,1039.0,0.0,0.0,0.0
Skin-Melanoma::S.79,0.0,0.0,5156.0,0.0,772.0,1988.0,1385.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.80,3372.0,0.0,0.0,146332.0,40326.0,24248.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.81,1345.0,0.0,8007.0,27184.0,19526.0,0.0,4817.0,624.0,390.0,0.0,0.0,0.0
Skin-Melanoma::S.82,0.0,8990.0,7015.0,187773.0,7615.0,25162.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.83,0.0,7301.0,0.0,78285.0,8428.0,5067.0,0.0,0.0,0.0,14139.0,0.0,0.0
Skin-Melanoma::S.84,0.0,0.0,5719.0,23713.0,34245.0,5847.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.85,1677.0,25012.0,0.0,107048.0,22076.0,1788.0,7536.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.86,511.0,18813.0,6122.0,36753.0,7263.0,2369.0,0.0,0.0,0.0,0.0,0.0,0.0
Skin-Melanoma::S.87,0.0,4310.0,5931.0,78577.0,31748.0,0.0,4750.0,0.0,0.0,0.0,0.0,0.0
